,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29,x30
x11,-1.664425174458478e-19,6.090635509164191e-21,4.632707669417398e-19,-4.021229193749976e-19,-1.2480900616260079e-19,-7.598194030708383e-20,1.890589874068955e-19,8.104037965611916e-20,1.1356569316047315e-19,4.6076399619356266e-21,1.0000000000000002,-1.8636921035423435e-19,-1.5631455557582117e-19,4.7328164726491374e-21,-1.71198665955133e-19,0.00016190807599572552,-0.0002133115867468322,3.240807665500529e-05,-0.00039803223401850015,-0.0007693796032854864,3.171492696092608e-06,0.00019523861113957564,-0.0005045341878339201,-0.0004578045481169796,0.00016702564551154676,-0.0006720695289911973,0.00022823507269534795,0.00010318214477170727,-0.00031333324570246386,7.519766713225245e-05
x12,-3.079037846330179e-20,4.1162016557956994e-20,-1.9418835521032277e-19,3.154973854277884e-20,9.453475119742891e-20,3.60019365292367e-22,-1.1638353969159911e-19,1.9180145684128432e-20,-8.302223327552504e-20,-1.6569878636378155e-19,-1.222153681851124e-19,0.9999999999999996,-1.0674047604258742e-19,-1.403385821412262e-19,7.655644269449559e-21,0.00026544781091093387,-0.00011370472197061382,0.0006451210101662493,-0.00033604956973667705,-0.00030854708696111816,0.0005971050903239817,-0.0005658031516952999,0.0013403743955810801,-0.0004954973484514082,-9.546409423704789e-05,0.0005703889588913203,-7.529181379106887e-05,0.0006926383357599185,0.00020274141896602828,-0.0016133832810006441
x13,-7.301603309937534e-21,1.6442482905466298e-19,6.770846257612743e-20,-7.695470699226935e-21,9.657034667286188e-20,1.684096588588348e-19,-3.1229556768619066e-21,-1.4837831005670293e-19,2.0344907888582835e-19,-8.395338355686207e-21,-1.2807669159876498e-19,-1.2921425253746013e-19,1.0,-5.422575362080569e-20,2.5395063312668364e-20,0.0005412185287608479,-0.0003272161686085696,3.030936294446279e-05,-0.000302202855268958,-0.0008208036933145621,0.00017946341379511914,-0.0006573568794675135,-0.00032279255010120403,-0.0003807453254497059,-0.0006919682110870116,-0.0002838326147429084,-0.00017052841880468403,-0.0002277114287004773,-0.0005669422114400822,0.0009136921238644414
x14,1.106916777723451e-20,6.100232743130725e-20,-2.274714367207101e-19,1.8465963118535044e-20,1.2494939193655426e-19,-3.554351882483785e-19,-3.9405950369534984e-19,-1.5011981989651385e-20,-2.342984218430033e-19,-1.312567688688651e-19,7.688516932764281e-20,-2.3755247160030697e-19,-3.892895580592442e-20,0.9999999999999998,-2.38732393133455e-19,0.0005407928599451316,0.0006181755334422685,0.00016022159742685923,9.051959445144848e-05,-0.00023944964355267958,0.00042605012276358215,-0.00029586701859210047,0.0008485588417443224,0.0003646080982382431,-5.927095499263832e-05,0.0013108502495929179,8.856789838735368e-05,-0.0012365869796383884,-0.0006995983892355157,0.00024352010693663546
x15,2.679526788209853e-21,-2.2719704579514866e-20,-7.165895637846126e-20,-3.3134210882092127e-19,-1.2999758634594189e-20,1.0551386366542546e-20,-1.5524279611922232e-20,-8.415247500165322e-21,1.7636401772267052e-20,-2.708106356744755e-20,-2.6517118598630106e-19,9.426404055396405e-21,3.856621510085184e-21,-3.7207200518295113e-19,0.9999999999999998,0.00043291329993127984,-0.0003703347468899663,-6.181707120520643e-05,1.9357934918862933e-05,-0.0006986338977724284,9.443960890225294e-06,0.0005683733270007029,-0.0006510882591174627,0.00011823285766785094,-0.000437831156216381,-0.00016720527686072399,2.5458037081420226e-05,0.000653050175878116,0.0005326804029900879,-0.00014733825374953872
x16,0.0003159441439804611,0.000503326861743542,0.0002041236838279205,-0.0006710676890575001,-0.0010081130744718037,-0.0004838619286747431,-0.00012913720068904997,0.00022486620354013508,0.0005634496004812275,-0.0004894902657359054,0.0001619080759957255,0.00026544781091093387,0.0005412185287608479,0.0005407928599451317,0.00043291329993127984,1.0,-1.0329252580404298e-20,-2.8451571166120393e-20,-1.6345308221493566e-21,-2.0875756430875387e-21,6.6254694675631e-20,9.723695327131603e-21,5.787003010477797e-20,7.018362494030151e-20,-4.208503078011637e-20,-2.155176445299235e-20,4.950150556192452e-21,-1.2516166828306287e-19,-1.2026827960762226e-20,-4.5737390999784614e-20
x17,-8.228847105831454e-05,-0.0010781293924521785,-0.00047472770522030423,-0.0007772988496903699,-0.0007545878204126365,-0.0011692014273639658,-0.0001138908347919665,-0.0002481534892935494,3.1984256439748184e-05,2.760284140344235e-06,-0.0002133115867468322,-0.00011370472197061382,-0.0003272161686085696,0.0006181755334422687,-0.0003703347468899663,-6.849759111491942e-21,1.0,3.22664364314569e-20,-4.149150714539879e-20,7.42931025362179e-21,-1.9504890751061473e-20,1.8249436591448078e-19,-3.1922497181961267e-21,-1.0050716069595634e-19,-9.169850293477208e-21,7.127387625389581e-20,-3.7693966159189495e-20,-4.3212384868133347e-19,-6.880163877496454e-20,-4.941424061827435e-22
x18,-0.0006890961842909547,-0.0002537096812572732,0.00048288280823779106,0.0003693395677941329,3.274960406055695e-05,-0.0005134198818718219,-6.174440100396343e-05,2.335750205915968e-05,0.0007170923201144202,4.043531060760174e-05,3.2408076655005286e-05,0.0006451210101662493,3.030936294446279e-05,0.00016022159742685923,-6.181707120520643e-05,6.623393153732335e-20,6.1214254481349575e-21,0.9999999999999999,1.4028685755933732e-20,-3.356300121319683e-21,1.1623743033353345e-19,2.9795738871904584e-20,8.277632271610202e-20,-2.1933276730863243e-20,5.182442728929111e-21,-7.690789987681537e-20,2.7588807238197486e-20,1.174110579582063e-20,-1.1895736124520742e-20,-1.4143683936684195e-19
x19,0.000254647063479109,-0.0002820864179542108,-0.0005527708959982979,-0.0007579975423524257,4.180287999715195e-05,-0.0006594015314853321,-0.00032265680865918014,0.000290113517810948,-3.664821064261076e-05,4.3684588267084144e-05,-0.0003980322340185002,-0.0003360495697366771,-0.00030220285526895804,9.051959445144849e-05,1.9357934918862933e-05,-4.6357478038875776e-21,-9.658359559794844e-20,5.431846900056765e-21,0.9999999999999999,3.4336135241927824e-19,1.7855860383941636e-19,-8.878032946678924e-20,2.4480008962858887e-20,1.9551518812612392e-20,-4.2939790456617686e-20,-1.0817452076699869e-19,-3.112469981066723e-20,2.960857417942167e-19,2.3815297397004404e-20,7.754117372402031e-20
x20,0.0009347165067575827,7.283173681159654e-05,0.0001272893277731629,-0.0009921042712457801,-0.0002217480257695979,0.0002998554035371651,0.00016536884047123435,-1.5953640454219496e-07,-0.0004360441374164512,0.0006733382579994338,-0.0007693796032854863,-0.00030854708696111816,-0.0008208036933145622,-0.00023944964355267955,-0.0006986338977724284,-1.0738604724843973e-19,-1.3613500953625783e-20,1.0172790156135685e-19,2.317664019228483e-19,1.0,1.1705979349503345e-20,-3.761336472267864e-20,1.1521978776464278e-19,6.14396381628234e-21,-1.0863727280217092e-19,2.1777053838766094e-20,-1.4250317746791347e-21,-9.263302228987737e-20,-6.3990780691400425e-21,9.166052686702597e-20
x21,-0.00013968371069239015,0.0006116977944822152,0.00019366437457893782,8.415933855725075e-05,-0.0009701708566439881,-0.00082562201675187,-0.0002619948801985399,-0.0007166671429681035,7.211892340998734e-05,-0.0007415381922032946,3.171492696092608e-06,0.0005971050903239816,0.00017946341379511914,0.0004260501227635821,9.443960890225294e-06,1.5465058617514822e-19,1.1094317968076348e-19,2.0353570222705995e-19,1.1007136470478005e-19,1.9488821983219132e-20,1.0000000000000002,-2.928743187770852e-20,4.299215822929284e-20,-3.0718916277873726e-21,1.1039608474889248e-19,-1.033218282064019e-19,6.499043972134178e-20,-2.3347952380587318e-20,2.6048550393136834e-20,1.9610838933907346e-19
x22,0.0007739102787169589,-0.0005933918930939221,-0.0008415048216285278,-0.0012018191115907547,-3.5814473235786055e-05,-0.0010220625132731744,0.0004597379314345208,-0.0004034143881109272,0.00023245183537845632,-2.5035257832254384e-05,0.00019523861113957566,-0.0005658031516953,-0.0006573568794675134,-0.0002958670185921005,0.000568373327000703,-8.577407584841874e-21,-7.073979568411179e-20,9.17845360996018e-22,1.7457462332872704e-19,-1.8404011438090308e-20,1.7841261784388267e-20,1.0000000000000002,3.953841388392651e-20,4.313471600164123e-20,-3.894102432815824e-19,1.0832262134847463e-19,9.780784515918362e-20,2.8464482494694265e-20,-2.3156131891632078e-20,-1.9810342833040726e-19
x23,0.00011958158968634211,-0.00014082335537598164,0.0008185198590405924,-0.0002459072607058095,0.0009902253069536203,0.00012894379796464373,-0.00033511693287884833,-0.0005688882952143562,0.0015610398167184873,-0.0003058607881668654,-0.0005045341878339201,0.0013403743955810803,-0.00032279255010120403,0.0008485588417443224,-0.0006510882591174627,2.1219304947533441e-19,1.725265011306668e-20,4.138120651793665e-20,2.498162428679523e-19,1.0150262489972534e-19,8.045632477612749e-20,1.7588333124861763e-20,1.0000000000000004,-4.97614249355461e-20,-1.1853963236261897e-19,-3.978608137608572e-19,-1.400699134188237e-19,7.085596056476544e-20,-1.5504198803047533e-20,-5.9203717614796326e-21
x24,-0.0006328000652960198,0.00018940957004107356,0.00041521197951753535,-0.00031637409933699904,-0.0004171540168186108,-0.0004267668540606753,-0.00025503832084026106,8.419065353256253e-05,0.00022310015206832942,0.0010263287024463092,-0.00045780454811697956,-0.0004954973484514082,-0.0003807453254497059,0.00036460809823824305,0.00011823285766785095,9.557635590445505e-20,-5.831642102613457e-20,7.494037705274469e-20,4.503055326021256e-20,1.2199865089606367e-20,2.0211437189020668e-20,2.8697205767047056e-20,-4.245238561993991e-20,1.0,-1.2208529186097976e-19,1.0143744123855562e-19,1.0445639691474102e-20,4.323442843020661e-20,6.027546080954454e-20,1.0389585302890893e-19
x25,0.0003341055621338717,-0.0007412661784481334,-9.26147380061798e-06,5.7423977701705e-05,0.00046452498922418793,-0.0005616349065706334,0.00022051649059825012,-0.0006834340851993344,-0.00010680091093311531,4.0660221154467264e-05,0.00016702564551154676,-9.546409423704787e-05,-0.0006919682110870117,-5.927095499263832e-05,-0.00043783115621638094,-2.146279356781797e-20,5.807609741910966e-20,5.510918371161295e-21,3.5716854514674896e-20,1.4542283934910732e-19,1.1505246317708693e-19,-4.693827601871191e-19,-1.4518645297285136e-19,-1.0066282021676003e-19,1.0,5.942156204492903e-21,-8.107002379070761e-20,4.864420942331398e-20,-1.746555379132852e-20,6.375215566398329e-21
x26,-0.00027160520291358075,-0.0005629601727908087,0.0013353252499762357,0.00034184478854094326,0.0006770861925584665,0.00010360751314793884,-0.0006314112105741404,-0.00048564528403397694,0.0009090440773012495,-0.000402108147943195,-0.0006720695289911972,0.0005703889588913203,-0.0002838326147429084,0.001310850249592918,-0.00016720527686072396,1.8543420189260046e-20,-1.7071835399551254e-20,-1.446555878128101e-20,-1.5787425750570033e-19,4.879686362522216e-20,-6.803018668275832e-20,6.023355795913889e-20,-2.3918692910492638e-19,3.711503527743427e-20,-1.173664774147297e-21,1.0,-7.455173923459358e-20,-3.7382244888263945e-21,3.130129436203933e-20,1.7980747229188644e-20
x27,-0.0002386660804054917,-0.00043158297563025054,0.0006088109609348973,0.0005654121024386506,0.0003366617724029504,0.00011199626300609388,-0.0002964338166911637,-0.000379708255039695,0.0004062672424922457,0.000207527098657429,0.00022823507269534795,-7.529181379106886e-05,-0.00017052841880468403,8.856789838735368e-05,2.5458037081420226e-05,8.870463482998232e-21,-1.1533548505903304e-20,-3.7690579540150045e-20,-2.2566092542372034e-20,-5.4161278062860457e-20,7.336283088394474e-20,7.065852458967513e-20,-3.0990347217329697e-19,4.600243793938559e-20,-1.930837614126091e-20,-9.015349902330177e-20,1.0000000000000004,-7.97562729414693e-20,-1.4503764777502743e-20,-9.168733208251524e-20
x28,0.0003352295364152067,0.0003125299457475165,0.00020841809580913537,0.0013455725180941123,0.0010912764037264461,0.00015015241101535272,-0.00024983157804992986,-2.4808489510360896e-05,-0.00042743345043534604,-0.00016194563653135335,0.00010318214477170727,0.0006926383357599185,-0.00022771142870047731,-0.0012365869796383884,0.000653050175878116,-4.194727881771075e-19,1.646001023805012e-19,1.9287150055376483e-20,4.713652496556055e-19,-2.0221209485676346e-19,-1.8480877694698547e-22,1.2666477424661253e-19,-1.8388916721294056e-21,-9.983489855692064e-20,1.8843327382623073e-20,4.707476119724074e-20,-4.811541870187604e-20,1.0,1.5429865814167148e-19,5.095092105331188e-22
x29,-0.00029253112756156814,0.0004800897038250258,0.00010315924611016139,-0.000614726844929488,0.00011078745668857503,-8.20390685443873e-05,-0.0003126967083683529,1.0689404674222828e-06,0.0009787423395909078,0.00043048080098780875,-0.0003133332457024638,0.00020274141896602825,-0.0005669422114400822,-0.0006995983892355156,0.0005326804029900879,2.0567384557735507e-20,-1.6930245429238738e-20,-1.18112226923468e-19,8.413931305090166e-20,6.372583411231643e-21,4.9622167928590554e-20,-6.194317114818908e-20,-2.4583162821211653e-20,7.238949093038135e-20,1.434102145668902e-21,1.745667378498259e-20,-2.3595485073449538e-20,1.0093498300585083e-19,1.0000000000000004,-1.5003857499167717e-19
x30,0.00015433971193013269,0.0005948376687648387,-0.0010739061185468842,-0.0015195824417470547,0.0010978810275498495,0.0011087367291681546,9.7187917919189e-05,0.0014909122831805628,0.0005830791479382709,-0.00011890834841432931,7.519766713225245e-05,-0.0016133832810006441,0.0009136921238644415,0.00024352010693663546,-0.0001473382537495387,3.724025219647364e-20,1.8090557092478508e-19,-3.5929361484238576e-20,2.4516205296220046e-19,6.998051193389885e-20,1.0982833777814585e-19,-3.8707781729672785e-19,3.4193652341525345e-19,-2.1355948277014416e-20,3.7805749406924534e-21,1.0246711644077251e-19,-7.551800854814382e-20,5.2243529150084676e-23,-1.7272100031339364e-19,0.9999999999999999
